path;kind;title;year;season;episode;tmdb_id;source
101_далматинец_Перевод_1_Провайдер_2q720.mp4;film;101 Dalmatians;;;;11674;openai-pass1
Paw Patrol/PAW.Patrol.S01/10.mkv;tv_show;Paw Patrol;;1;10;57532;openai-pass1
Paw Patrol/PAW.Patrol.S01/11.mkv;tv_show;Paw Patrol;;1;11;57532;openai-pass1
Paw Patrol/PAW.Patrol.S01/12.mkv;tv_show;Paw Patrol;;1;12;57532;openai-pass1
Paw Patrol/PAW.Patrol.S01/13.mkv;tv_show;Paw Patrol;;1;13;57532;openai-pass1
Paw Patrol/PAW.Patrol.S01/14.mkv;tv_show;Paw Patrol;;1;14;57532;openai-pass1
Paw Patrol/PAW.Patrol.S01/15.mkv;tv_show;Paw Patrol;;1;15;57532;openai-pass1
Paw Patrol/PAW.Patrol.S01/16.mkv;tv_show;Paw Patrol;;1;16;57532;openai-pass1
Paw Patrol/PAW.Patrol.S01/17.mkv;tv_show;Paw Patrol;;1;17;57532;openai-pass1
Paw Patrol/PAW.Patrol.S01/18.mkv;tv_show;Paw Patrol;;1;18;57532;openai-pass1
Paw Patrol/PAW.Patrol.S01/19.mkv;tv_show;Paw Patrol;;1;19;57532;openai-pass1
Paw Patrol/PAW.Patrol.S01/1.mkv;tv_show;Paw Patrol;;1;1;57532;openai-pass1
Paw Patrol/PAW.Patrol.S01/20.mkv;tv_show;Paw Patrol;;1;20;57532;openai-pass1
Paw Patrol/PAW.Patrol.S01/21.mkv;tv_show;Paw Patrol;;1;21;57532;openai-pass1
Paw Patrol/PAW.Patrol.S01/22.mkv;tv_show;Paw Patrol;;1;22;57532;openai-pass1
Paw Patrol/PAW.Patrol.S01/23.mkv;tv_show;Paw Patrol;;1;23;57532;openai-pass1
Paw Patrol/PAW.Patrol.S01/24.mkv;tv_show;Paw Patrol;;1;24;57532;openai-pass1
Paw Patrol/PAW.Patrol.S01/25.mkv;tv_show;Paw Patrol;;1;25;57532;openai-pass1
Paw Patrol/PAW.Patrol.S01/2.mkv;tv_show;Paw Patrol;;1;2;57532;openai-pass1
Paw Patrol/PAW.Patrol.S01/3.mkv;tv_show;Paw Patrol;;1;3;57532;openai-pass1
Paw Patrol/PAW.Patrol.S01/4.mkv;tv_show;Paw Patrol;;1;4;57532;openai-pass1
