source_abs;target_abs;kind;collision;status;detail
/mnt/synology/video/Детское/101_далматинец_Перевод_1_Провайдер_2q720.mp4;/mnt/synology/video/Kids/Movies/101 Dalmatians (1996) {imdb-tt0115433}/101 Dalmatians (1996) {imdb-tt0115433}.mp4;film;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S01/10.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 01/Paw Patrol (2013) - s01e10.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S01/11.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 01/Paw Patrol (2013) - s01e11.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S01/12.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 01/Paw Patrol (2013) - s01e12.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S01/13.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 01/Paw Patrol (2013) - s01e13.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S01/14.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 01/Paw Patrol (2013) - s01e14.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S01/15.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 01/Paw Patrol (2013) - s01e15.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S01/16.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 01/Paw Patrol (2013) - s01e16.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S01/17.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 01/Paw Patrol (2013) - s01e17.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S01/18.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 01/Paw Patrol (2013) - s01e18.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S01/19.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 01/Paw Patrol (2013) - s01e19.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S01/1.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 01/Paw Patrol (2013) - s01e01.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S01/20.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 01/Paw Patrol (2013) - s01e20.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S01/21.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 01/Paw Patrol (2013) - s01e21.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S01/22.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 01/Paw Patrol (2013) - s01e22.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S01/23.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 01/Paw Patrol (2013) - s01e23.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S01/24.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 01/Paw Patrol (2013) - s01e24.mkv;tv_show;no;skipped_missing_source;source not found
