path;kind;title;year;detail;confidence
101_далматинец_Перевод_1_Провайдер_2q720.mp4;film;101 Dalmatians;;;0.88
Paw Patrol/PAW.Patrol.S01/10.mkv;tv_show;Paw Patrol;;S01E10;0.96
Paw Patrol/PAW.Patrol.S01/11.mkv;tv_show;Paw Patrol;;S01E11;0.96
Paw Patrol/PAW.Patrol.S01/12.mkv;tv_show;Paw Patrol;;S01E12;0.96
Paw Patrol/PAW.Patrol.S01/13.mkv;tv_show;Paw Patrol;;S01E13;0.96
Paw Patrol/PAW.Patrol.S01/14.mkv;tv_show;Paw Patrol;;S01E14;0.96
Paw Patrol/PAW.Patrol.S01/15.mkv;tv_show;Paw Patrol;;S01E15;0.96
Paw Patrol/PAW.Patrol.S01/16.mkv;tv_show;Paw Patrol;;S01E16;0.96
Paw Patrol/PAW.Patrol.S01/17.mkv;tv_show;Paw Patrol;;S01E17;0.96
Paw Patrol/PAW.Patrol.S01/18.mkv;tv_show;Paw Patrol;;S01E18;0.96
Paw Patrol/PAW.Patrol.S01/19.mkv;tv_show;Paw Patrol;;S01E19;0.98
Paw Patrol/PAW.Patrol.S01/1.mkv;tv_show;Paw Patrol;;S01E01;0.96
Paw Patrol/PAW.Patrol.S01/20.mkv;tv_show;Paw Patrol;;S01E20;0.96
Paw Patrol/PAW.Patrol.S01/21.mkv;tv_show;Paw Patrol;;S01E21;0.96
Paw Patrol/PAW.Patrol.S01/22.mkv;tv_show;Paw Patrol;;S01E22;0.96
Paw Patrol/PAW.Patrol.S01/23.mkv;tv_show;Paw Patrol;;S01E23;0.96
Paw Patrol/PAW.Patrol.S01/24.mkv;tv_show;Paw Patrol;;S01E24;0.96
Paw Patrol/PAW.Patrol.S01/25.mkv;tv_show;Paw Patrol;;S01E25;0.96
Paw Patrol/PAW.Patrol.S01/2.mkv;tv_show;Paw Patrol;;S01E02;0.96
Paw Patrol/PAW.Patrol.S01/3.mkv;tv_show;Paw Patrol;;S01E03;0.96
Paw Patrol/PAW.Patrol.S01/4.mkv;tv_show;Paw Patrol;;S01E04;0.96
Paw Patrol/PAW.Patrol.S01/5.mkv;tv_show;Paw Patrol;;S01E05;0.96
Paw Patrol/PAW.Patrol.S01/6.mkv;tv_show;Paw Patrol;;S01E06;0.98
Paw Patrol/PAW.Patrol.S01/7.mkv;tv_show;Paw Patrol;;S01E07;0.98
Paw Patrol/PAW.Patrol.S01/8.mkv;tv_show;Paw Patrol;;S01E08;0.96
Paw Patrol/PAW.Patrol.S01/9.mkv;tv_show;Paw Patrol;;S01E09;0.98
Paw Patrol/PAW.Patrol.S02/10.mkv;tv_show;Paw Patrol;;S02E10;0.96
Paw Patrol/PAW.Patrol.S02/11.mkv;tv_show;Paw Patrol;;S02E11;0.96
Paw Patrol/PAW.Patrol.S02/12.mkv;tv_show;Paw Patrol;;S02E12;0.96
Paw Patrol/PAW.Patrol.S02/13.mkv;tv_show;Paw Patrol;;S02E13;0.96
Paw Patrol/PAW.Patrol.S02/14.mkv;tv_show;Paw Patrol;;S02E14;0.96
Paw Patrol/PAW.Patrol.S02/15.mkv;tv_show;Paw Patrol;;S02E15;0.96
Paw Patrol/PAW.Patrol.S02/16.mkv;tv_show;Paw Patrol;;S02E16;0.96
Paw Patrol/PAW.Patrol.S02/17.mkv;tv_show;Paw Patrol;;S02E17;0.96
Paw Patrol/PAW.Patrol.S02/18.mkv;tv_show;Paw Patrol;;S02E18;0.96
Paw Patrol/PAW.Patrol.S02/19.mkv;tv_show;Paw Patrol;;S02E19;0.96
Paw Patrol/PAW.Patrol.S02/1.mkv;tv_show;Paw Patrol;;S02E01;0.96
Paw Patrol/PAW.Patrol.S02/20.mkv;tv_show;Paw Patrol;;S02E20;0.96
Paw Patrol/PAW.Patrol.S02/21.mkv;tv_show;Paw Patrol;;S02E21;0.96
Paw Patrol/PAW.Patrol.S02/22.mkv;tv_show;Paw Patrol;;S02E22;0.96
Paw Patrol/PAW.Patrol.S02/23.mkv;tv_show;Paw Patrol;;S02E23;0.96
Paw Patrol/PAW.Patrol.S02/24.mkv;tv_show;Paw Patrol;;S02E24;0.96
Paw Patrol/PAW.Patrol.S02/25.mkv;tv_show;Paw Patrol;;S02E25;0.96
Paw Patrol/PAW.Patrol.S02/26.mkv;tv_show;Paw Patrol;;S02E26;0.96
Paw Patrol/PAW.Patrol.S02/27.mkv;tv_show;Paw Patrol;;S02E27;0.96
Paw Patrol/PAW.Patrol.S02/28.mkv;tv_show;Paw Patrol;;S02E28;0.96
Paw Patrol/PAW.Patrol.S02/2.mkv;tv_show;Paw Patrol;;S02E02;0.96
Paw Patrol/PAW.Patrol.S02/3.mkv;tv_show;Paw Patrol;;S02E03;0.96
Paw Patrol/PAW.Patrol.S02/4.mkv;tv_show;Paw Patrol;;S02E04;0.96
Paw Patrol/PAW.Patrol.S02/5.mkv;tv_show;Paw Patrol;;S02E05;0.96
Paw Patrol/PAW.Patrol.S02/6.mkv;tv_show;Paw Patrol;;S02E06;0.96
Paw Patrol/PAW.Patrol.S02/7.mkv;tv_show;Paw Patrol;;S02E07;0.98
Paw Patrol/PAW.Patrol.S02/8.mkv;tv_show;Paw Patrol;;S02E08;0.98
Paw Patrol/PAW.Patrol.S02/9.mkv;tv_show;Paw Patrol;;S02E09;0.96
Paw Patrol/PAW.Patrol.S03/10.mkv;tv_show;Paw Patrol;;S03E10;0.96
Paw Patrol/PAW.Patrol.S03/11.mkv;tv_show;Paw Patrol;;S03E11;0.96
Paw Patrol/PAW.Patrol.S03/12.mkv;tv_show;Paw Patrol;;S03E12;0.96
Paw Patrol/PAW.Patrol.S03/13.mkv;tv_show;Paw Patrol;;S03E13;0.96
Paw Patrol/PAW.Patrol.S03/14.mkv;tv_show;Paw Patrol;;S03E14;0.96
Paw Patrol/PAW.Patrol.S03/15.mkv;tv_show;Paw Patrol;;S03E15;0.96
Paw Patrol/PAW.Patrol.S03/16.mkv;tv_show;Paw Patrol;;S03E16;0.96
Paw Patrol/PAW.Patrol.S03/17.mkv;tv_show;Paw Patrol;;S03E17;0.96
Paw Patrol/PAW.Patrol.S03/18.mkv;tv_show;Paw Patrol;;S03E18;0.96
Paw Patrol/PAW.Patrol.S03/19.mkv;tv_show;Paw Patrol;;S03E19;0.96
Paw Patrol/PAW.Patrol.S03/1.mkv;tv_show;Paw Patrol;;S03E01;0.96
Paw Patrol/PAW.Patrol.S03/20.mkv;tv_show;Paw Patrol;;S03E20;0.96
Paw Patrol/PAW.Patrol.S03/21.mkv;tv_show;Paw Patrol;;S03E21;0.96
Paw Patrol/PAW.Patrol.S03/22.mkv;tv_show;Paw Patrol;;S03E22;0.96
Paw Patrol/PAW.Patrol.S03/23.mkv;tv_show;Paw Patrol;;S03E23;0.96
Paw Patrol/PAW.Patrol.S03/24.mkv;tv_show;Paw Patrol;;S03E24;0.96
Paw Patrol/PAW.Patrol.S03/25.mkv;tv_show;Paw Patrol;;S03E25;0.96
Paw Patrol/PAW.Patrol.S03/26.mkv;tv_show;Paw Patrol;;S03E26;0.93
Paw Patrol/PAW.Patrol.S03/27.mkv;tv_show;Paw Patrol;;S03E27;0.96
Paw Patrol/PAW.Patrol.S03/28.mkv;tv_show;Paw Patrol;;S03E28;0.96
Paw Patrol/PAW.Patrol.S03/2.mkv;tv_show;Paw Patrol;;S03E02;0.96
Paw Patrol/PAW.Patrol.S03/3.mkv;tv_show;Paw Patrol;;S03E03;0.96
Paw Patrol/PAW.Patrol.S03/4.mkv;tv_show;Paw Patrol;;S03E04;0.96
Paw Patrol/PAW.Patrol.S03/5.mkv;tv_show;Paw Patrol;;S03E05;0.96
Paw Patrol/PAW.Patrol.S03/6.mkv;tv_show;Paw Patrol;;S03E06;0.96
Paw Patrol/PAW.Patrol.S03/7.mkv;tv_show;Paw Patrol;;S03E07;0.96
Paw Patrol/PAW.Patrol.S03/8.mkv;tv_show;Paw Patrol;;S03E08;0.96
Paw Patrol/PAW.Patrol.S03/9.mkv;tv_show;Paw Patrol;;S03E09;0.96
Paw Patrol/PAW.Patrol.S04/10.mkv;tv_show;Paw Patrol;;S04E10;0.96
Paw Patrol/PAW.Patrol.S04/11.mkv;tv_show;Paw Patrol;;S04E11;0.96
Paw Patrol/PAW.Patrol.S04/12.mkv;tv_show;Paw Patrol;;S04E12;0.96
Paw Patrol/PAW.Patrol.S04/13.mkv;tv_show;Paw Patrol;;S04E13;0.96
Paw Patrol/PAW.Patrol.S04/14.mkv;tv_show;Paw Patrol;;S04E14;0.96
Paw Patrol/PAW.Patrol.S04/15.mkv;tv_show;Paw Patrol;;S04E15;0.96
Paw Patrol/PAW.Patrol.S04/16.mkv;tv_show;Paw Patrol;;S04E16;0.96
Paw Patrol/PAW.Patrol.S04/17.mkv;tv_show;Paw Patrol;;S04E17;0.96
Paw Patrol/PAW.Patrol.S04/18.mkv;tv_show;Paw Patrol;;S04E18;0.93
